Image,X,Y,Z,Zoom,Pitch,Yaw,FH/BH+FH,SWLS,SW/BH,SW/IW,SW,FH/BH,FH/SW
Image_0091.jpg,18.9,91.6548,151.3,94,0,90,0.109049,-3.96036,0.226562,0.0679687,NOT YET,0.122396,0.54023
Image_0093.jpg,19.5,91.6548,151.3,94,0,90,0.115741,-3.53395,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0094.jpg,19.8,91.6548,151.3,94,0,90,0.115741,-4.01729,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0095.jpg,20.1,91.6548,151.3,94,0,90,0.111369,-3.1734,0.229765,0.06875,NOT YET,0.125326,0.545455
Image_0096.jpg,20.4,91.6548,151.3,94,0,90,0.111369,-3.51143,0.229765,0.06875,NOT YET,0.125326,0.545455
Image_0098.jpg,21,91.6548,151.3,94,0,90,0.115741,-3.42436,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0100.jpg,21.6,91.6548,151.3,94,0,90,0.111111,-3.82676,0.229167,0.06875,NOT YET,0.125,0.545455
Image_0101.jpg,21.9,91.6548,151.3,94,0,90,0.113426,-3.01296,0.232376,0.0695312,NOT YET,0.127937,0.550562
Image_0102.jpg,22.2,91.6548,151.3,94,0,90,0.113426,-3.67611,0.232376,0.0695312,NOT YET,0.127937,0.550562
Image_0104.jpg,22.8,91.6548,151.3,94,0,90,0.113426,-2.9262,0.232376,0.0695312,NOT YET,0.127937,0.550562
Image_0105.jpg,23.1,91.6548,151.3,94,0,90,0.115741,-3.57737,0.23822,0.0710938,NOT YET,0.13089,0.549451
Image_0107.jpg,23.7,91.6548,151.3,94,0,90,0.115741,-3.4384,0.23822,0.0710938,NOT YET,0.13089,0.549451
Image_0108.jpg,24,91.6548,151.3,94,0,90,0.115741,-3.59627,0.23822,0.0710938,NOT YET,0.13089,0.549451
Image_0109.jpg,24.3,91.6548,151.3,94,0,90,0.115741,-3.78946,0.23822,0.0710938,NOT YET,0.13089,0.549451
Image_0110.jpg,24.6,91.6548,151.3,94,0,90,0.113689,-3.3863,0.23822,0.0710938,NOT YET,0.128272,0.538462
Image_0111.jpg,24.9,91.6548,151.3,94,0,90,0.113689,-3.50258,0.23822,0.0710938,NOT YET,0.128272,0.538462
Image_0113.jpg,25.5,91.6548,151.3,94,0,90,0.115741,-3.36261,0.23822,0.0710938,NOT YET,0.13089,0.549451
Image_0114.jpg,25.8,91.6548,151.3,94,0,90,0.113689,-3.46282,0.23822,0.0710938,NOT YET,0.128272,0.538462
Image_0115.jpg,26.1,91.6548,151.3,94,0,90,0.113426,-3.79074,0.234987,0.0703125,NOT YET,0.127937,0.544444
Image_0116.jpg,26.4,91.6548,151.3,94,0,90,0.115741,-3.37262,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0117.jpg,26.7,91.6548,151.3,94,0,90,0.116009,-3.64374,0.24147,0.071875,NOT YET,0.131234,0.543478
Image_0118.jpg,27,91.6548,151.3,94,0,90,0.111369,-3.73973,0.234987,0.0703125,NOT YET,0.125326,0.533333
Image_0119.jpg,27.3,91.6548,151.3,94,0,90,0.111369,-2.89696,0.234987,0.0703125,NOT YET,0.125326,0.533333
Image_0120.jpg,27.6,91.6548,151.3,94,0,90,0.115741,-3.43502,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0121.jpg,27.9,91.6548,151.3,94,0,90,0.109049,-3.7098,0.229167,0.06875,NOT YET,0.122396,0.534091
Image_0122.jpg,28.2,91.6548,151.3,94,0,90,0.115741,-3.80377,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0123.jpg,28.5,91.6548,151.3,94,0,90,0.115741,-3.45095,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0124.jpg,28.8,91.6548,151.3,94,0,90,0.111369,-3.47822,0.234987,0.0703125,NOT YET,0.125326,0.533333
Image_0125.jpg,29.1,91.6548,151.3,94,0,90,0.115741,-4.16984,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0126.jpg,29.4,91.6548,151.3,94,0,90,0.115741,-3.20011,0.240838,0.071875,NOT YET,0.13089,0.543478
Image_0128.jpg,30,91.6548,151.3,94,0,90,0.113426,-3.74801,0.237598,0.0710938,NOT YET,0.127937,0.538462
Image_0129.jpg,30.3,91.6548,151.3,94,0,90,0.111369,-2.94136,0.234987,0.0703125,NOT YET,0.125326,0.533333
Image_0130.jpg,30.6,91.6548,151.3,94,0,90,0.113689,-3.44045,0.240838,0.071875,NOT YET,0.128272,0.532609
Image_0131.jpg,30.6,91.9548,151.3,94,0,90,0.116279,-3.52332,0.247368,0.0734375,NOT YET,0.131579,0.531915
Image_0132.jpg,30.6,92.2548,151.3,94,0,90,0.111628,-3.48604,0.235602,0.0703125,NOT YET,0.125654,0.533333
Image_0133.jpg,30.6,92.5548,151.3,94,0,90,0.112903,-3.35076,0.238961,0.071875,NOT YET,0.127273,0.532609
Image_0134.jpg,30.6,92.8548,151.3,94,0,90,0.115207,-3.5286,0.242188,0.0726563,NOT YET,0.130208,0.537634
Image_0135.jpg,30.6,93.1548,151.3,94,0,90,0.113426,-3.48642,0.240209,0.071875,NOT YET,0.127937,0.532609
Image_0136.jpg,30.6,93.4548,151.3,94,0,90,0.111111,-3.26489,0.236979,0.0710938,NOT YET,0.125,0.527473
Image_0137.jpg,30.6,93.7548,151.3,94,0,90,0.113689,-3.44236,0.243455,0.0726563,NOT YET,0.128272,0.526882
Image_0138.jpg,30.6,94.0548,151.3,94,0,90,0.116009,-3.59948,0.244094,0.0726563,NOT YET,0.131234,0.537634
Image_0139.jpg,30.6,94.3548,151.3,94,0,90,0.113953,-3.31601,0.24147,0.071875,NOT YET,0.128609,0.532609
Image_0141.jpg,30.6,94.9548,151.3,94,0,90,0.113164,-3.44976,0.239583,0.071875,NOT YET,0.127604,0.532609
Image_0142.jpg,30.6,95.2548,151.3,94,0,90,0.115473,-3.46524,0.24282,0.0726563,NOT YET,0.130548,0.537634
Image_0143.jpg,30.6,95.5548,151.3,94,0,90,0.113426,-3.26595,0.240209,0.071875,NOT YET,0.127937,0.532609
Image_0145.jpg,30.6,96.1548,151.3,94,0,90,0.116009,-3.56075,0.244094,0.0726563,NOT YET,0.131234,0.537634
Image_0146.jpg,30.6,96.4548,151.3,94,0,90,0.113953,-3.14261,0.24147,0.071875,NOT YET,0.128609,0.532609
Image_0147.jpg,30.6,96.7549,151.3,94,0,90,0.110855,-3.34299,0.238961,0.071875,NOT YET,0.124675,0.521739
Image_0148.jpg,30.6,97.0549,151.3,94,0,90,0.112903,-3.54645,0.238961,0.071875,NOT YET,0.127273,0.532609
Image_0149.jpg,30.6,97.3549,151.3,94,0,90,0.115473,-3.28949,0.24282,0.0726563,NOT YET,0.130548,0.537634
Image_0150.jpg,30.6,97.6549,151.3,94,0,90,0.113426,-3.01666,0.24282,0.0726563,NOT YET,0.127937,0.526882
Image_0151.jpg,30.6,97.9549,151.3,94,0,90,0.111369,-3.6789,0.237598,0.0710938,NOT YET,0.125326,0.527473
Image_0152.jpg,30.6,98.2549,151.3,94,0,90,0.116009,-3.23078,0.244094,0.0726563,NOT YET,0.131234,0.537634
Image_0153.jpg,30.6,98.5549,151.3,94,0,90,0.116009,-3.18794,0.244094,0.0726563,NOT YET,0.131234,0.537634
Image_0154.jpg,30.6,98.8549,151.3,94,0,90,0.115207,-3.29676,0.247396,0.0742188,NOT YET,0.130208,0.526316
Image_0155.jpg,30.6,99.1549,151.3,94,0,90,0.110855,-3.08541,0.238961,0.071875,NOT YET,0.124675,0.521739
